CategoryID,LocationID,ProductName,CPU_GHz,RAM_GB,Storage_GB,Price,IsDefective
1000,1001,'Apple MacBook Air M3 (13-inch) ',4.3,9,1345,336.6,0
1001,1002,'Alienware Aurora ',2.5,10,4564,828.4,0
1001,1004,'Lenovo Yoga',4.4,11,4550,1883.2,0
1001,1004,'Alienware Aurora ',1.2,12,3844,2441.5,0
1001,1004,'Alienware Aurora ',2.9,13,1998,2667.6,0
1000,1000,'Lenovo Yoga',1.7,8,4957,2245.6,0
1001,1006,'Lenovo Yoga',4.9,11,1443,2038.8,0
1000,1004,'Lenovo Yoga',4.3,10,2378,1808.9,0
1001,1003,'Alienware Aurora ',1.9,9,418,2266.5,0
1001,1007,'Lenovo Yoga',2.8,4,2269,1113.1,0
1000,1003,'Alienware Aurora ',3.4,16,4164,1944.2,0
1001,1001,'Apple MacBook Air M3 (13-inch) ',2.3,13,1213,753.3,0
1001,1004,'Lenovo Yoga',2.9,16,2202,1214.8,0
1000,1004,'Apple MacBook Air M3 (13-inch) ',5,6,2209,2785.5,0
1001,1001,'Lenovo Yoga',4.8,7,3646,2373.5,0
1001,1000,'Dell XPS ',3.9,8,1699,1340.5,0
1001,1003,'Alienware Aurora ',2.3,5,4769,2856.8,0
1000,1007,'Lenovo Yoga',2.9,15,2126,801.3,0
1001,1002,'Dell XPS ',2.9,9,4348,1587,0
1000,1000,'Dell XPS ',4.1,4,4977,1847.6,1
1001,1002,'Apple MacBook Air M3 (13-inch) ',4.3,5,1581,313.8,0
1000,1001,'Dell XPS ',4.2,11,2923,1472.6,0
1000,1000,'Dell XPS ',1.7,11,3394,1737.3,0
1000,1004,'Apple MacBook Air M3 (13-inch) ',3,8,3703,1852.8,0
1000,1007,'Lenovo Yoga',3.7,13,315,645.4,0
1001,1008,'Lenovo Yoga',1.2,15,2197,1280.5,0
1000,1000,'Lenovo Yoga',2.2,15,2015,2254.2,0
1001,1009,'Lenovo Yoga',4.7,11,1488,2691.1,0
1000,1002,'Lenovo Yoga',2.9,13,2279,2368.6,0
1001,1000,'Apple MacBook Air M3 (13-inch) ',3.7,6,2929,841.2,0
1001,1003,'Alienware Aurora ',4.2,13,2617,1495.3,0
1001,1002,'Lenovo Yoga',2.9,7,1429,479.1,0
1000,1000,'Alienware Aurora ',1.3,12,4234,2852.2,0
1000,1000,'Alienware Aurora ',1.7,15,153,2789.2,0
1001,1005,'Lenovo Yoga',2.8,4,2023,1108.2,0
1000,1001,'Apple MacBook Air M3 (13-inch) ',2.6,12,2981,441.7,0
1000,1001,'Apple MacBook Air M3 (13-inch) ',4.2,6,2214,2687.8,0
1000,1006,'Apple MacBook Air M3 (13-inch) ',3.5,14,4269,346.2,0
1000,1002,'Lenovo Yoga',2.1,8,2614,1988.3,0
1000,1008,'Apple MacBook Air M3 (13-inch) ',4.2,7,4563,2980.5,0
1001,1005,'Apple MacBook Air M3 (13-inch) ',2.1,12,2640,1003.3,0
1001,1001,'Dell XPS ',2.3,16,3421,1859.2,0
1000,1009,'Apple MacBook Air M3 (13-inch) ',4.9,15,2093,799.5,0
1000,1005,'Lenovo Yoga',4.5,9,3672,1520.6,0
1001,1002,'Alienware Aurora ',2.1,11,852,1021.5,0
1001,1002,'Lenovo Yoga',2.4,4,4755,1480.7,0
1001,1003,'Lenovo Yoga',4.3,13,2448,2682.4,0
1001,1005,'Apple MacBook Air M3 (13-inch) ',3.3,11,3573,835.2,0
1001,1007,'Lenovo Yoga',4.7,11,1412,2524.3,1
1001,1005,'Alienware Aurora ',2.3,7,2011,2909.8,0
1000,1003,'Alienware Aurora ',2.5,15,964,394.9,0
1001,1003,'Lenovo Yoga',4.2,4,1668,2735.1,0
1001,1007,'Apple MacBook Air M3 (13-inch) ',3.8,15,2550,363.7,0
1000,1000,'Lenovo Yoga',1.6,11,139,218.5,0
1001,1004,'Lenovo Yoga',3.7,9,2637,757.7,0
1001,1003,'Apple MacBook Air M3 (13-inch) ',1.2,15,317,2781.6,0
1001,1005,'Dell XPS ',3.1,15,4635,2835.5,0
1000,1008,'Apple MacBook Air M3 (13-inch) ',4.7,4,476,2083.1,0
1000,1007,'Dell XPS ',1.9,7,20,931.1,0
1000,1001,'Apple MacBook Air M3 (13-inch) ',4,15,346,2669.9,0
1000,1003,'Apple MacBook Air M3 (13-inch) ',4.9,10,1923,2268.5,0
1000,1008,'Apple MacBook Air M3 (13-inch) ',1.2,9,3591,1687.9,0
1001,1002,'Dell XPS ',4,16,1677,1270.8,0
1000,1005,'Apple MacBook Air M3 (13-inch) ',1.6,6,12,2192.2,1
1001,1007,'Dell XPS ',4,6,2900,1328.1,0
1001,1001,'Alienware Aurora ',4.5,15,209,398.7,0
1001,1003,'Lenovo Yoga',3.7,13,2519,2041.4,0
1001,1006,'Alienware Aurora ',3.9,6,239,1080,0
1001,1005,'Apple MacBook Air M3 (13-inch) ',3.1,10,1037,2333.2,0
1000,1001,'Alienware Aurora ',2.1,9,2197,951.8,0
1001,1007,'Dell XPS ',2.1,16,3624,1195.9,0
1000,1009,'Lenovo Yoga',1.6,7,4250,654.1,0
1000,1004,'Dell XPS ',1.2,12,4203,1370.9,0
1001,1009,'Apple MacBook Air M3 (13-inch) ',1,7,273,2041.2,0
1001,1001,'Apple MacBook Air M3 (13-inch) ',2.2,15,3410,855.9,0
1001,1004,'Apple MacBook Air M3 (13-inch) ',4,4,2140,321.4,0
1000,1007,'Alienware Aurora ',1.4,6,4482,1959.6,0
1000,1008,'Alienware Aurora ',3.8,9,2844,1065.8,0
1001,1000,'Apple MacBook Air M3 (13-inch) ',2.1,11,113,1818.5,0
1001,1009,'Lenovo Yoga',2.7,15,3181,2520.6,0
1001,1006,'Alienware Aurora ',1.8,7,2366,375.2,0
1001,1006,'Apple MacBook Air M3 (13-inch) ',1.9,11,868,2657.5,1
1000,1009,'Lenovo Yoga',3.1,12,4195,2070,0
1001,1005,'Apple MacBook Air M3 (13-inch) ',2.6,10,348,2693.2,0
1001,1009,'Dell XPS ',4.8,6,1651,1844.6,0
1001,1002,'Alienware Aurora ',4.9,8,4758,2207.4,0
1001,1009,'Dell XPS ',4,6,2530,2328.6,1
1001,1005,'Lenovo Yoga',3.5,15,1421,2487.3,0
1001,1008,'Apple MacBook Air M3 (13-inch) ',2.3,4,4315,1948.4,0
1000,1004,'Alienware Aurora ',2.4,16,4653,2676.9,0
1000,1000,'Apple MacBook Air M3 (13-inch) ',2.3,14,899,711,0
1001,1001,'Alienware Aurora ',4.5,10,3772,2619.1,0
1000,1000,'Apple MacBook Air M3 (13-inch) ',3.5,14,760,1540.2,0
1000,1004,'Lenovo Yoga',4.5,7,2457,2304.7,0
1000,1002,'Apple MacBook Air M3 (13-inch) ',2.9,13,1120,1917.3,0
1001,1009,'Apple MacBook Air M3 (13-inch) ',3.3,6,3428,1421.8,0
1001,1009,'Dell XPS ',2.3,4,3871,404.5,0
1001,1007,'Dell XPS ',2.4,5,3795,864,0
1000,1009,'Apple MacBook Air M3 (13-inch) ',4.7,9,2736,1414.4,0
1001,1005,'Apple MacBook Air M3 (13-inch) ',2.1,5,246,2876.7,0
1000,1003,'Dell XPS ',4.3,14,1126,1875.4,0
1001,1000,'Lenovo Yoga',4.6,13,3745,961.2,0
1000,1000,'Lenovo Yoga',2.5,16,1243,1778.2,0
1000,1009,'Apple MacBook Air M3 (13-inch) ',4.1,7,4811,2176.7,0
1001,1008,'Lenovo Yoga',4.7,5,4031,1530.2,0
1001,1006,'Alienware Aurora ',2.2,4,4185,2155.2,0
1000,1004,'Lenovo Yoga',2.8,4,3014,2896.9,0
1001,1003,'Lenovo Yoga',4.9,12,222,1550.4,0
1000,1005,'Dell XPS ',2.1,8,1132,1188.9,0
1000,1005,'Dell XPS ',1.4,7,2006,1107.3,0
1000,1002,'Lenovo Yoga',2,10,3182,2963.9,0
1000,1008,'Alienware Aurora ',1.6,6,2507,1270.5,0
1000,1000,'Dell XPS ',1.3,11,4695,2396.2,0
1000,1008,'Apple MacBook Air M3 (13-inch) ',4.3,4,2319,1972.9,0
1001,1008,'Alienware Aurora ',4.2,10,3672,634.4,0
1001,1000,'Alienware Aurora ',2.3,4,2510,2608.1,0
1001,1009,'Apple MacBook Air M3 (13-inch) ',3.7,9,4266,1239,0
1001,1007,'Apple MacBook Air M3 (13-inch) ',2.2,10,2941,1533.8,0
1000,1008,'Alienware Aurora ',2,7,2546,1722.2,0
1001,1002,'Lenovo Yoga',2.2,8,57,2863.3,0
1001,1008,'Apple MacBook Air M3 (13-inch) ',3.8,14,3551,432.1,0
1001,1007,'Dell XPS ',1,16,1263,527.7,0
1000,1000,'Lenovo Yoga',3.8,12,4522,928.7,0
1000,1008,'Apple MacBook Air M3 (13-inch) ',1.2,9,4903,808.5,0
1001,1002,'Lenovo Yoga',3.8,6,3509,981.9,0
1000,1002,'Dell XPS ',2.8,16,2166,997.4,0
1001,1009,'Apple MacBook Air M3 (13-inch) ',3.8,14,3555,2598.9,0
1000,1009,'Alienware Aurora ',2.6,6,3364,2230.6,1
1000,1007,'Alienware Aurora ',1.4,15,1576,2280.6,0
1001,1001,'Lenovo Yoga',1.8,11,2560,2094.4,0
1000,1001,'Apple MacBook Air M3 (13-inch) ',4,9,3631,365.6,0
1001,1003,'Alienware Aurora ',4.8,7,139,1880.6,1
1001,1003,'Apple MacBook Air M3 (13-inch) ',1.6,13,2108,334.4,0
1000,1005,'Alienware Aurora ',3.4,11,3885,830.6,0
1000,1008,'Apple MacBook Air M3 (13-inch) ',1.4,6,4812,2464.6,1
1001,1004,'Dell XPS ',4.7,11,1217,2019,1
1001,1008,'Dell XPS ',2.2,8,1757,2278.2,0
1000,1006,'Apple MacBook Air M3 (13-inch) ',2.5,11,823,513,0
1001,1002,'Apple MacBook Air M3 (13-inch) ',4.2,16,1618,1068.4,0
1001,1008,'Alienware Aurora ',3.3,10,1113,1373.2,0
1000,1008,'Apple MacBook Air M3 (13-inch) ',4.1,14,2593,290.8,0
1000,1006,'Dell XPS ',2.1,11,851,2122.1,0
1001,1005,'Apple MacBook Air M3 (13-inch) ',3.7,15,2141,612,0
1000,1000,'Dell XPS ',1.5,7,1920,1592.1,0
1000,1001,'Dell XPS ',3.5,10,1851,2695.6,0
1001,1005,'Alienware Aurora ',2.2,9,4623,2468.8,0
1001,1000,'Alienware Aurora ',2.9,13,1706,1609.7,0
1000,1006,'Dell XPS ',1.8,14,207,2555.5,0
1001,1007,'Apple MacBook Air M3 (13-inch) ',4,4,539,2524.2,0
1000,1008,'Dell XPS ',4.8,10,198,2419.5,0
1000,1004,'Alienware Aurora ',1.9,5,715,2971.3,0
1001,1000,'Dell XPS ',4.4,14,175,716.3,1
1000,1006,'Apple MacBook Air M3 (13-inch) ',3.9,13,1184,2720.8,0
1001,1000,'Apple MacBook Air M3 (13-inch) ',4.8,11,1031,2901.1,0
1000,1003,'Alienware Aurora ',4.4,10,3911,1960.7,0
1001,1008,'Apple MacBook Air M3 (13-inch) ',3.3,5,2494,2306.6,0
1001,1005,'Apple MacBook Air M3 (13-inch) ',2.7,5,1385,2739.2,1
1000,1008,'Dell XPS ',3.3,7,4419,2955.7,0
1001,1007,'Dell XPS ',3.1,13,2952,917.4,0
1001,1004,'Apple MacBook Air M3 (13-inch) ',1.4,15,2443,2571.2,0
1001,1007,'Dell XPS ',3.9,7,1632,220.1,1
1001,1001,'Alienware Aurora ',3.1,8,4388,1209.1,0
1001,1009,'Alienware Aurora ',4.8,12,1282,305.9,0
1000,1009,'Lenovo Yoga',1.9,16,806,2255.6,0
1000,1000,'Lenovo Yoga',2.6,13,1414,669.8,0
1001,1006,'Lenovo Yoga',3.6,4,2394,888.3,0
1000,1004,'Dell XPS ',1.1,6,3621,843.2,0
1001,1009,'Apple MacBook Air M3 (13-inch) ',2.6,7,4159,1639.1,1
1001,1002,'Dell XPS ',4.8,14,1373,1136.2,0
1001,1007,'Apple MacBook Air M3 (13-inch) ',3.8,8,1798,278.4,0
1000,1008,'Apple MacBook Air M3 (13-inch) ',1.3,7,4696,1195.7,0
1001,1004,'Alienware Aurora ',3.3,11,4872,744.2,0
1000,1007,'Lenovo Yoga',3.4,6,3612,2283,0
1000,1006,'Alienware Aurora ',1.5,5,1147,2057.2,0
1000,1006,'Lenovo Yoga',4.6,5,1833,749.3,0
1000,1006,'Lenovo Yoga',3,9,167,1495.2,0
1000,1008,'Apple MacBook Air M3 (13-inch) ',4,13,3849,1491.1,0
1000,1000,'Dell XPS ',4.9,8,827,1248.5,0
1000,1008,'Apple MacBook Air M3 (13-inch) ',4,9,381,443.3,0
1000,1003,'Alienware Aurora ',3.8,9,2686,1841.2,0
1000,1001,'Apple MacBook Air M3 (13-inch) ',4.8,10,4920,657.8,0
1001,1006,'Apple MacBook Air M3 (13-inch) ',3.8,4,4223,1320.4,0
1000,1002,'Alienware Aurora ',3.3,4,968,1098.5,0
1001,1000,'Alienware Aurora ',4.7,13,794,680,0
1000,1000,'Alienware Aurora ',4.9,11,3446,1709,0
1000,1004,'Lenovo Yoga',2.3,14,3096,1342.8,0
1001,1003,'Alienware Aurora ',3.4,7,4010,2572.7,0
1001,1006,'Dell XPS ',4.6,6,4423,1732.9,0
1001,1009,'Dell XPS ',2,15,4103,2691,0
1001,1005,'Apple MacBook Air M3 (13-inch) ',3.2,7,3800,1136.3,0
1001,1001,'Apple MacBook Air M3 (13-inch) ',1.4,11,4367,2854.9,0
1001,1003,'Apple MacBook Air M3 (13-inch) ',4.8,14,2358,218.3,0
1001,1009,'Lenovo Yoga',3.9,9,49,1198.6,0
1000,1003,'Alienware Aurora ',4.6,14,2909,2433.1,0
1001,1005,'Dell XPS ',1.4,10,160,2207.4,0
1001,1005,'Apple MacBook Air M3 (13-inch) ',1.1,11,4186,2620.2,0
1000,1009,'Apple MacBook Air M3 (13-inch) ',3.5,16,2597,716.5,0
1001,1002,'Alienware Aurora ',3.6,13,1239,1177.4,0
1001,1002,'Apple MacBook Air M3 (13-inch) ',2.4,13,4503,1887.9,0
1000,1006,'Alienware Aurora ',1.4,15,4620,1167.8,0
1001,1002,'Alienware Aurora ',3,12,1546,218.1,0
1000,1008,'Dell XPS ',3.7,9,433,2920.1,0
1000,1006,'Alienware Aurora ',3.7,10,830,629,0
1001,1009,'Dell XPS ',2.4,16,1853,2132,0
1000,1005,'Apple MacBook Air M3 (13-inch) ',1.3,16,2018,2627.9,0
1001,1001,'Lenovo Yoga',3.4,14,4763,610.7,0
1001,1004,'Apple MacBook Air M3 (13-inch) ',3.9,12,1048,890,0
1000,1005,'Lenovo Yoga',3.3,16,2065,1868.1,0
1001,1003,'Alienware Aurora ',3.9,8,3153,691.2,0
1000,1002,'Dell XPS ',1.4,5,4217,2453.3,0
1001,1004,'Apple MacBook Air M3 (13-inch) ',2.1,14,841,2392.8,0
1000,1009,'Alienware Aurora ',4.9,15,4235,2036.2,0
1000,1005,'Dell XPS ',3.3,11,3208,1654.6,0
1001,1008,'Apple MacBook Air M3 (13-inch) ',4.9,7,954,2607.2,0
1000,1004,'Dell XPS ',3,4,1613,2057.5,0
1001,1009,'Apple MacBook Air M3 (13-inch) ',4.7,7,3684,1710.4,0
1000,1001,'Alienware Aurora ',1.4,15,1949,2840.5,0
1000,1000,'Dell XPS ',1.9,15,1398,2402.8,0
1001,1005,'Alienware Aurora ',3.6,5,3362,509.4,0
1000,1008,'Apple MacBook Air M3 (13-inch) ',3.5,10,2291,2480.3,0
1000,1002,'Dell XPS ',2.7,10,3722,1924.5,0
1000,1007,'Dell XPS ',1.5,16,1373,1194.5,0
1000,1006,'Apple MacBook Air M3 (13-inch) ',2,12,4532,2429.3,1
1001,1003,'Dell XPS ',1.6,9,1935,1195.4,0
1001,1001,'Apple MacBook Air M3 (13-inch) ',2.5,16,4403,2381.1,0
1001,1009,'Dell XPS ',1.6,7,1942,2899.7,0
1000,1006,'Apple MacBook Air M3 (13-inch) ',3.9,10,3458,783.3,0
1000,1003,'Lenovo Yoga',3.6,8,93,1205.3,0
1000,1002,'Alienware Aurora ',4,9,4048,367.8,0
1000,1007,'Lenovo Yoga',2.3,13,798,1969.8,0
1001,1009,'Lenovo Yoga',2.5,16,1694,1586.1,0
1001,1004,'Alienware Aurora ',3,11,1535,862.9,0
1000,1006,'Lenovo Yoga',3.1,5,2765,1447.2,0
1001,1001,'Apple MacBook Air M3 (13-inch) ',1,4,3954,1383.5,0
1001,1004,'Dell XPS ',2.5,14,2543,2182.8,0
1000,1009,'Alienware Aurora ',1.8,12,325,1123.2,0
1001,1008,'Lenovo Yoga',2.2,12,989,566.2,0
1001,1001,'Lenovo Yoga',3.3,8,369,987,0
1000,1008,'Lenovo Yoga',4.6,4,2789,1143.1,0
1000,1004,'Apple MacBook Air M3 (13-inch) ',4.8,11,4690,2956,0
1001,1001,'Apple MacBook Air M3 (13-inch) ',2.7,9,712,605.8,0
1001,1009,'Dell XPS ',3.6,7,685,2642.5,0
1000,1003,'Dell XPS ',2.3,16,4005,287.3,0
1000,1005,'Apple MacBook Air M3 (13-inch) ',3.3,16,2769,2240.8,0
1001,1000,'Alienware Aurora ',4.1,5,3467,894.5,0
1001,1009,'Apple MacBook Air M3 (13-inch) ',4.3,4,4327,1986.1,0
1000,1005,'Dell XPS ',1.3,5,994,1136.4,0
1000,1003,'Apple MacBook Air M3 (13-inch) ',1.1,8,4786,2939.8,1
1001,1002,'Lenovo Yoga',2.7,8,4789,226.5,0
1000,1001,'Apple MacBook Air M3 (13-inch) ',2.3,15,987,1927.2,0
1000,1004,'Apple MacBook Air M3 (13-inch) ',3.6,13,444,1421.8,1
1000,1000,'Alienware Aurora ',1.8,12,1021,766.3,0
1001,1003,'Apple MacBook Air M3 (13-inch) ',3.2,8,1639,1882.6,0
1001,1008,'Dell XPS ',5,5,2594,2680.8,1
1000,1001,'Lenovo Yoga',1.3,6,3650,365.8,0
1000,1001,'Dell XPS ',2.8,16,4247,2399,0
1001,1003,'Lenovo Yoga',4.3,14,4498,521.2,0
1001,1003,'Dell XPS ',2.5,9,2422,2363.7,0
1000,1001,'Alienware Aurora ',4.8,8,4156,2564.9,0
1001,1009,'Alienware Aurora ',1.5,11,1909,1414.3,0
1000,1006,'Alienware Aurora ',1.8,12,96,1725.9,0
1000,1006,'Dell XPS ',2.9,4,4677,1967.4,0
1001,1006,'Lenovo Yoga',1.6,7,281,334.7,1
1000,1008,'Dell XPS ',3,14,4620,2547.3,0
1001,1008,'Lenovo Yoga',1.4,16,3216,2677.4,0
1001,1006,'Dell XPS ',1.6,9,962,872.8,0
1000,1003,'Apple MacBook Air M3 (13-inch) ',4.3,13,3912,577.2,0
1001,1009,'Alienware Aurora ',4.1,6,2751,1961.1,0
1001,1006,'Lenovo Yoga',4.5,15,3087,1577.1,0
1001,1004,'Lenovo Yoga',2,16,4022,1347.5,0
1001,1008,'Apple MacBook Air M3 (13-inch) ',4.4,13,429,1176.7,0
1001,1007,'Lenovo Yoga',1.3,4,1302,521.4,0
1001,1009,'Lenovo Yoga',1.3,16,3139,1042.5,0
1001,1003,'Apple MacBook Air M3 (13-inch) ',4.9,7,4085,915.7,0
1000,1003,'Lenovo Yoga',1.4,5,342,2658.3,0
1000,1006,'Alienware Aurora ',4.4,6,3970,2682.8,0
1000,1007,'Alienware Aurora ',3.5,13,1954,316.8,0
1000,1004,'Dell XPS ',2.3,12,4246,1545.3,0
1000,1003,'Dell XPS ',1.8,5,3352,2790.5,0
1000,1007,'Lenovo Yoga',4,9,1077,344.5,0
1001,1002,'Alienware Aurora ',3.7,13,399,1427.1,0
1001,1008,'Dell XPS ',1.3,7,3133,1621.8,0
1000,1004,'Lenovo Yoga',1.8,7,2073,1756.6,0
1000,1001,'Alienware Aurora ',3.4,16,1667,961.9,0
1000,1006,'Alienware Aurora ',3.3,14,664,2626.5,0
1000,1009,'Apple MacBook Air M3 (13-inch) ',2.6,6,432,1126.4,0
1001,1003,'Alienware Aurora ',1.7,6,3216,742.3,0
1000,1005,'Apple MacBook Air M3 (13-inch) ',1.1,14,183,203.7,0
1000,1001,'Alienware Aurora ',3.3,10,4973,1485,1
1001,1005,'Alienware Aurora ',2.9,12,4133,1318.3,0
1001,1003,'Apple MacBook Air M3 (13-inch) ',3.4,6,473,717.7,0
1000,1007,'Alienware Aurora ',4.4,16,1265,2028.5,0
1001,1003,'Lenovo Yoga',3.7,7,4913,1988.9,0
1000,1001,'Dell XPS ',3.3,15,357,2876.6,0
1001,1004,'Dell XPS ',2.6,7,4460,1148.5,0
1001,1003,'Apple MacBook Air M3 (13-inch) ',2.5,11,4328,2886.5,0
1000,1002,'Alienware Aurora ',1.6,6,172,2854.6,0
1001,1007,'Apple MacBook Air M3 (13-inch) ',1.3,5,3098,1996.7,0
1001,1008,'Alienware Aurora ',4.4,5,4057,1706,0
1001,1001,'Dell XPS ',3,13,3073,1220.3,0
1000,1003,'Lenovo Yoga',4.6,7,4399,928.8,0
1000,1006,'Dell XPS ',1.6,10,2745,2225,0
1000,1004,'Apple MacBook Air M3 (13-inch) ',3.6,15,4277,2659.7,0
1001,1006,'Apple MacBook Air M3 (13-inch) ',3.6,13,4528,862.3,0
1000,1007,'Lenovo Yoga',4.7,9,1912,861,1
1000,1006,'Lenovo Yoga',1.6,5,207,2940.3,0
1000,1006,'Lenovo Yoga',3.8,11,2881,2900.6,0
1000,1003,'Lenovo Yoga',3.5,12,2387,1292.8,0
1000,1009,'Lenovo Yoga',1.3,5,764,1785,0
1001,1002,'Alienware Aurora ',1.7,10,2075,928.3,0
1000,1002,'Alienware Aurora ',4.1,9,4495,2644.2,0
1000,1001,'Dell XPS ',3.7,13,4976,2016.4,0
1001,1008,'Lenovo Yoga',2.1,9,4439,1452.1,0
1001,1005,'Apple MacBook Air M3 (13-inch) ',2.9,6,3626,819.1,0
1001,1001,'Alienware Aurora ',5,16,4362,2058.3,0
1000,1007,'Apple MacBook Air M3 (13-inch) ',3.8,4,4602,1277.8,0
1000,1002,'Lenovo Yoga',1.7,4,4520,2219.3,0
1001,1004,'Lenovo Yoga',1.5,13,2302,2636,0
1000,1003,'Apple MacBook Air M3 (13-inch) ',1.7,7,921,2161.6,0
1000,1002,'Dell XPS ',3.1,12,2280,1769.7,0
1000,1008,'Lenovo Yoga',1.8,4,1086,1744.1,0
1000,1003,'Lenovo Yoga',2.5,10,1027,646.5,0
1001,1004,'Apple MacBook Air M3 (13-inch) ',3.4,5,4419,915.2,0
1001,1009,'Dell XPS ',2.1,15,19,539.2,0
1000,1006,'Dell XPS ',4.2,10,1385,2348.3,0
1001,1007,'Lenovo Yoga',1.4,15,4471,947,0
1000,1006,'Dell XPS ',1.6,6,2498,2736.3,0
1001,1008,'Dell XPS ',3.8,14,3932,1303.1,0
1001,1006,'Alienware Aurora ',2.1,14,4467,1109.3,0
1001,1000,'Dell XPS ',3.5,13,1710,1218,0
1000,1003,'Alienware Aurora ',2.4,13,978,2071.1,0
1000,1007,'Dell XPS ',3.6,10,235,1037,0
1001,1008,'Alienware Aurora ',3.4,13,4361,545.6,1
1000,1004,'Dell XPS ',3.7,11,2076,544.3,0
1000,1001,'Alienware Aurora ',2.3,7,790,1195.8,0
1000,1005,'Apple MacBook Air M3 (13-inch) ',2.2,16,735,1716.7,0
1000,1009,'Dell XPS ',4.9,5,325,2174.9,0
1000,1006,'Lenovo Yoga',4.1,7,959,1666.3,0
1000,1001,'Apple MacBook Air M3 (13-inch) ',1.7,10,4023,1432.2,0
1000,1005,'Alienware Aurora ',2.4,15,1015,1600.8,0
1001,1004,'Dell XPS ',1.1,15,1583,289.4,0
